"user","name","party","blok","variable","value"
"MarleneAmbo","Marlene Ambo-Rasmussen","V","blue","likes_t10",25
"michaelaastrup","Michael Aastrup Jensen","V","blue","likes_t10",58
"MortenDahlin","Morten Dahlin","V","blue","likes_t10",386
"PeterJuelJensen","Peter Juel Jensen","V","blue","likes_t10",7
"Sten_Knuth","Stén Knuth, Idrætsordfører Venstre","V","blue","likes_t10",68
"ThDanielsen","Thomas Danielsen","V","blue","likes_t10",3
"Torstenschack","Torsten Schack","V","blue","likes_t10",105
"troelslundp","Troels Lund Poulsen","V","blue","likes_t10",679
"Ulla_Tornaes","Ulla Tørnæs","V","blue","likes_t10",62
"larsloekke","Lars Løkke Rasmussen","MF","blue","likes_t10",807
"SorenPape","Søren Pape Poulsen","C","blue","likes_mean_t10",294.1
"metteabildgaard","Mette Abildgaard","C","blue","likes_mean_t10",12
"RasmusJarlov","Rasmus Jarlov","C","blue","likes_mean_t10",4.2
"JuulMona","Mona Juul","C","blue","likes_mean_t10",10.1
"PerLarsenC","Per Larsen","C","blue","likes_mean_t10",31.7
"_MaiMercado","Mai Mercado","C","blue","likes_mean_t10",15.2
"BirgitteBergman","Birgitte Bergman","C","blue","likes_mean_t10",32
"brittbager","Britt Bager","C","blue","likes_mean_t10",2.2
"Ammitzboell_K","KatarinaAmmitzboell","C","blue","likes_mean_t10",7.3
"Kristianthdahl","Kristian Thulesen Dahl","O","blue","likes_mean_t10",106.2
"MrMesserschmidt","Morten Messerschmidt","O","blue","likes_mean_t10",25.4
"mfMorten","Morten Bødskov","A","red","likes_mean_t10",24.5
"espersendf","Søren Espersen","O","blue","likes_mean_t10",3.9
"skaarup_df","Peter Skaarup","O","blue","likes_mean_t10",40.2
"Pia_Kjaersgaard","Pia Kjærsgaard","O","blue","likes_mean_t10",19
"AdsbolAdsbl","Karina Adsbøl","O","blue","likes_mean_t10",5.6
"LiseBech","Lise Bech 🇩🇰","O","blue","likes_mean_t10",2.9
"BentGsted","Bent Bøgsted","O","blue","likes_mean_t10",4.33333333333333
"ReneChr67108814","Rene’ Christensen","O","blue","likes_mean_t10",53.3333333333333
"JThulesen","J H Thulesen Dahl","O","blue","likes_mean_t10",8.1
"flydtkjaer","Dennis Flydtkjær","O","blue","likes_mean_t10",10.7
"MarieKrarup","Marie Krarup","O","blue","likes_mean_t10",8.2
"Hans_Kr_Skibby","Hans Kristian Skibby","O","blue","likes_mean_t10",2.9
"MaiVilladsen","Mai Villadsen","EL","red","likes_mean_t10",67.7
"SorenEggeRasmus","Søren Egge Rasmussen","EL","red","likes_mean_t10",17.4
"VictoriaV_EL","Victoria Velásquez","EL","red","likes_mean_t10",9.9
"EvaFlyvholm","Eva Flyvholm","EL","red","likes_mean_t10",63.4
"pederhvelplund","Peder Hvelplund","EL","red","likes_mean_t10",35.8
"ChristianJuhl2","Christian Juhl","EL","red","likes_mean_t10",2
"RuneLundEL","Rune Lund","EL","red","likes_mean_t10",2.8
"PSkipperEL","Pernille Skipper","EL","red","likes_mean_t10",9.3
"JakobSoelvhoej","Jakob Sølvhøj","EL","red","likes_mean_t10",26
"RosaLundEl","Rosa Lund","EL","red","likes_mean_t10",78.1
"jonasholmdk","Jonas Holm 🇺🇦","Q","neutral","likes_mean_t10",3.7
"jonasholmdk","Jonas Holm","Q","neutral","likes_mean_t10",3.7
"AlexVanopslagh","Alex Vanopslagh","I","blue","likes_mean_t10",59.1
"SociologenHD","Henrik Dahl","I","blue","likes_mean_t10",96.5
"olebirkolesen","Ole Birk Olesen","I","blue","likes_mean_t10",27.8
"LBMathiesen","Lars Boje Mathiesen","D","blue","likes_mean_t10",58.9
"ThiesenMette","Mette Thiesen","D","blue","likes_mean_t10",45.8
"PernilleVermund","Pernille Vermund","D","blue","likes_mean_t10",131.4
"peter_seier","Peter Seier Christensen","D","blue","likes_mean_t10",30.1
"FrkCallesen","Anne Sophie Callesen","B","red","likes_mean_t10",15.2
"mariannejelved","Marianne Jelved","B","red","likes_mean_t10",4.8
"SamiraNawa","Samira Nawa","B","red","likes_mean_t10",36.5
"rohde_jens","Jens Rohde","B","red","likes_mean_t10",54.6
"kronborgsusan","Susan Kronborg","B","red","likes_mean_t10",2.1
"martinlidegaard","Martin Lidegaard","B","red","likes_mean_t10",26.9
"KathrineOlldag","Kathrine Olldag","B","red","likes_mean_t10",0.6
"sofiecn","Sofie Carsten Nielsen","B","red","likes_mean_t10",20.9
"a_steenberg","Andreas Steenberg","B","red","likes_mean_t10",9.9
"rvthorholm","Christina Thorholm","B","red","likes_mean_t10",1
"KatrineRobsoe","Katrine Robsøe","B","red","likes_mean_t10",9.1
"rasmushelveg","Rasmus Helveg","B","red","likes_mean_t10",2.7
"stinuslindgreen","Stinus Lindgreen","B","red","likes_mean_t10",1.7
"zeniastampe","Zenia Stampe","B","red","likes_mean_t10",10
"LotteRod","Lotte Rod","B","red","likes_mean_t10",6
"IdaAuken","Ida Auken","A","red","likes_mean_t10",7.6
"Trinebramsen","Trine Bramsen","A","red","likes_mean_t10",2.3
"BjBrandenborg","Bjørn Brandenborg","A","red","likes_mean_t10",2.2
"bressendorff","Brian Bressendorff","A","red","likes_mean_t10",1.7
"JeppeBruus","Jeppe Bruus","A","red","likes_mean_t10",3.9
"KaareDybvad","Kaare Dybvad","A","red","likes_mean_t10",2.2
"BennyEngelbrech","Benny Engelbrecht","A","red","likes_mean_t10",13.9
"CamFabricius","Camilla Fabricius","A","red","likes_mean_t10",4.6
"MetteGjerskov","Mette Gjerskov","A","red","likes_mean_t10",26.8
"AlexanderGrandt","Alexander Grandt","A","red","likes_mean_t10",7.3
"HavOrla","Orla Hav","A","red","likes_mean_t10",2.3
"PHummelgaard","Peter Hummelgaard","A","red","likes_mean_t10",4.8
"MFThomasJensen","Thomas Jensen","A","red","likes_mean_t10",2.6
"LahnLeif","Leif Lahn Jensen","A","red","likes_mean_t10",10.7
"Jens_Joel","Jens Joel","A","red","likes_mean_t10",3.3
"janjohansen16",NA,"A","red","likes_mean_t10",NA
"DanJoergensen","Dan Jørgensen","A","red","likes_mean_t10",3.1
"SandKjaer","Kasper Sand Kjær","A","red","likes_mean_t10",21
"AndersKronborg","Anders Kronborg","A","red","likes_mean_t10",10.1
"rasmushorn","Rasmus Horn Langhoff","A","red","likes_mean_t10",1.4
"MalteLarsen","Malte Larsen","A","red","likes_mean_t10",0
"LarssonTanja","Tanja Larsson","A","red","likes_mean_t10",1.3
"Heunicke","Magnus Heunicke","A","red","likes_mean_t10",62.6
"RosenkrantzT","Rosenkrantz-Theil","A","red","likes_mean_t10",2.3
"simonkollerup","Simon Kollerup","A","red","likes_mean_t10",1.7
"MogensJensenS","Mogens Jensen","A","red","likes_mean_t10",6.4
"AneHalsboe","Ane Halsboe","A","red","likes_mean_t10",0
"RabjergMadsen","Chr Rabjerg Madsen","A","red","likes_mean_t10",23.3
"mattiastesfaye","Mattias Tesfaye","A","red","likes_mean_t10",21.5
"Astridkrag","Astrid Krag","A","red","likes_mean_t10",6.4
"Bjarne_Laustsen",NA,"A","red","likes_mean_t10",NA
"annette_lind","Annette Lind","A","red","likes_mean_t10",4.8
"FlemmingMM","Flemming Møller Mortensen","A","red","likes_mean_t10",4.9
"Henrikm86712011","Henrik møller","A","red","likes_mean_t10",16.8
